Month,Cycle,"Type of Tpr","Start Date","End Date","Scheme ID","Scheme Name","ND Code","ND Name","Invoice Number","ND Location","RD Code","RD Name",City,"Billing Location","Retailer Code","Retailer Name",Asin,Model,"Internal name",Dsn,"Sale Date","Activation Date",Remarks,Type,"Activation %","Promo Qty","Sold Qty","Margin %",MRP,"Base Price","Invoice Price","TPR Discount","BAU Discount","Discounted Mrp","Discounted base price","Discounted Invoice Price","Loss to Revenue per unit (without GST)","Elegible for TPR","TPR Payout Value","Final CN",Partner,"Eligible for BAU Payout","BAU Payout Value",Status
12,1,BAU,,,,,REDARMS,Redington,2108991000177,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jodhpur,Rajasthan,10005,"Space Electorincs City Plaza Jodhpur",B084KSRFXJ,"Echo Dot 4th Gen Blue",Brownie,G091EU0704551BBD,2020-12-08,2020-12-08,BAU,,0,1,0,17,4499,3164.55,3734.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2107991000190,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jodhpur,Rajasthan,10005,"Space Electorincs City Plaza Jodhpur",B084DWH53T,"Echo Dot 4th Gen Black",Brownie,G091AA0503770ECF,2020-12-09,2020-12-09,BAU,,0,1,0,17,4499,3164.55,3734.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2107991000054,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jaipur,Rajasthan,246740,"PACIFIC INTERNATIONAL",B07ZZX5ZSW,"Fire TV Stick-3rd generation",Sheldon+,G071EL08037421UE,2020-12-10,2020-12-10,BAU,,0,1,0,17,3999,2812.86,3319.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2.10799E+12,"Phase-1, Okhla, Delhi",RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jaipur,Rajasthan,378214,"R.S COMPUTERS & SYSTEMS",B084DWH53T,"Echo Dot 4th Gen Black",Brownie,G091AA05037302QX,2020-12-10,2020-12-10,BAU,,0,1,0,17,4499,3164.55,3734.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2108991000187,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jaipur,Rajasthan,945597,Infinity,B079QQZZJK,"Amazon FireTV stick 4K",Mantis,G070VM1804360WXJ,2020-12-10,2020-12-10,BAU,,0,1,0,17,5999,4219.64,4979.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2103991000232,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jaipur,Rajasthan,9544,"Sunny Electronics Vaishali Nagar Jaipur",B0791YHVMK,"Fire TV Stick with All New Alexa Voice Remote","TANK L",G070L82401520B28,2020-12-09,2020-12-09,BAU,,0,1,1,17,3999,2812.86,3319.17,0,1000,2999,2109.47,2489.17,703.39,No,0,703.39,GT,Yes,703.39,"BAU Extended"
12,1,BAU,,,,,REDARMS,Redington,2108991000165,Jaipur,RDPJLPL01,"P J Lifestyle Pvt.Ltd.",Jaipur,Rajasthan,9977,"Balaji Telecom Vidhyadhar Nager Jaipur",B084DWH53T,"Echo Dot 4th Gen Black",Brownie,G091AA07044619D8,2020-12-10,2020-12-10,BAU,,0,1,0,17,4499,3164.55,3734.17,0,0,0,0.00,0.00,0,No,0,0,GT,Yes,0,"BAU Extended"
12,1,BAU,2020-12-12,2020-12-15,SCH18122010000496,"RE: Echo Promotion - Offer from 12th Dec 2020 to 18th Dec 2020",IMLARMS,IML,2103991000178,"Bypass Police Chowki, Mumbai",RDKDE1,"KD Electronics",Kolkata,"West Bengal",834687,"Bhajanlal- Lake Mall",B07PFFMP9P,"All-new Echo Dot (3rd Gen)-Black",Crumpet,G090XG100143299B,2020-12-14,2020-12-09,BAU,,0,1,1,17,4499,3164.55,3734.17,0,1000,3499,2461.16,2904.17,703.39,No,0,703.39,ROT,Yes,703.39,"BAU Extended"
12,1,BAU,2020-12-12,2020-12-15,SCH18122010000496,"RE: Echo Promotion - Offer from 12th Dec 2020 to 18th Dec 2020",IMLARMS,IML,2104991000235,Kolkata,RDKDE1,"KD Electronics",Kolkata,"West Bengal",9150,"Masterjees Shop (Ritvik Commercial)",B07PFFMP9P,"All-new Echo Dot (3rd Gen)-Black",Crumpet,G090XG10014328XJ,2020-12-14,2020-12-09,BAU,,0,1,1,17,4499,3164.55,3734.17,0,1000,3499,2461.16,2904.17,703.39,No,0,703.39,GT,Yes,703.39,"BAU Extended"
12,1,BAU,2020-12-12,2020-12-15,SCH18122010000496,"RE: Echo Promotion - Offer from 12th Dec 2020 to 18th Dec 2020",IMLARMS,IML,2107991000047,Kolkata,RDKDE1,"KD Electronics",Kolkata,"West Bengal",9149,"Lalani E-Tech City",B07PFFMP9P,"All-new Echo Dot (3rd Gen)-Black",Crumpet,G090XG1103220JN1,2020-12-14,2020-12-03,BAU,,0,1,1,17,4499,3164.55,3734.17,0,1000,3499,2461.16,2904.17,703.39,No,0,703.39,GT,Yes,703.39,"BAU Extended"
